customer_id,Recency,Frequency,Monetary,R_score,F_score,M_score,RFM_Score,Segment
CUST00071,32,1,2062.5,4,1,3,413,Recent Customers
CUST00072,90,4,2587.02,2,3,4,234,Regular Customers
CUST00073,8,5,4077.07,5,4,5,545,Champions
CUST00074,7,4,2523.65,5,4,3,543,Loyal Customers
CUST00075,3,9,6791.61,5,5,5,555,Champions
CUST00076,20,2,1385.27,5,2,2,522,Recent Customers
CUST00077,109,1,394.32,2,1,1,211,At Risk
CUST00078,139,1,894.45,2,1,2,212,At Risk
CUST00079,191,1,619.57,1,1,1,111,At Risk
CUST00080,50,3,2563.41,3,3,4,334,Regular Customers
CUST00081,19,8,5311.16,5,5,5,555,Champions
CUST00082,254,3,1671.25,1,3,3,133,Regular Customers
CUST00083,89,2,806.87,2,2,2,222,At Risk
CUST00084,167,1,1273.18,1,1,2,112,At Risk
CUST00085,14,1,1257.8,5,1,2,512,Recent Customers
CUST00086,21,5,2195.41,4,4,3,443,Loyal Customers
CUST00087,44,1,933.58,4,1,2,412,Recent Customers
CUST00088,98,12,6774.5,2,5,5,255,Loyal Customers
CUST00089,165,2,2825.75,1,2,4,124,At Risk
CUST00090,80,4,1966.31,3,4,3,343,Loyal Customers
CUST00091,90,4,3667.4007999999985,2,4,4,244,Loyal Customers
CUST00092,21,1,430.85,4,1,1,411,Recent Customers
CUST00093,85,1,759.64,3,1,1,311,Regular Customers
CUST00094,183,4,3557.43,1,4,4,144,Loyal Customers
CUST00095,65,1,372.65,3,1,1,311,Regular Customers
CUST00096,61,3,1563.75,3,3,3,333,Regular Customers
CUST00097,1,7,4703.46,5,5,5,555,Champions
CUST00098,184,2,1843.57,1,2,3,123,At Risk
CUST00099,144,5,3410.87,2,4,4,244,Loyal Customers
CUST00100,70,1,372.37,3,1,1,311,Regular Customers
CUST00101,108,5,3514.87,2,4,4,244,Loyal Customers
CUST00102,83,1,732.65,3,1,1,311,Regular Customers
CUST00103,21,1,1469.96,4,1,2,412,Recent Customers
CUST00104,93,1,955.63,2,1,2,212,At Risk
CUST00105,46,1,2052.43,4,1,3,413,Recent Customers
CUST00106,61,7,4352.11,3,5,5,355,Loyal Customers
CUST00107,12,3,3548.15,5,3,4,534,Regular Customers
CUST00108,44,1,1074.5,4,1,2,412,Recent Customers
CUST00109,92,5,3837.05,2,4,4,244,Loyal Customers
CUST00110,35,6,3922.07,4,5,4,454,Champions
CUST00111,178,1,1135.09,1,1,2,112,At Risk
CUST00112,0,8,5576.25,5,5,5,555,Champions
CUST00113,28,2,1601.31,4,2,3,423,Recent Customers
CUST00114,239,6,5133.53,1,5,5,155,Loyal Customers
CUST00115,159,1,596.54,1,1,1,111,At Risk
CUST00116,143,6,5635.9,2,5,5,255,Loyal Customers
CUST00117,123,4,2534.33,2,4,3,243,Loyal Customers
CUST00118,27,1,689.56,4,1,1,411,Recent Customers
CUST00119,69,3,2848.36,3,3,4,334,Regular Customers
CUST00120,26,1,261.95,4,1,1,411,Recent Customers
CUST00121,27,2,2496.0299999999997,4,2,3,423,Recent Customers
CUST00122,106,2,2048.93,2,2,3,223,At Risk
CUST00123,102,6,2989.07,2,5,4,254,Loyal Customers
CUST00124,194,4,2570.5,1,4,4,144,Loyal Customers
CUST00125,8,2,1698.4,5,2,3,523,Recent Customers
CUST00126,57,2,1260.02,3,2,2,322,Regular Customers
CUST00127,24,2,729.55,4,2,1,421,Recent Customers
CUST00128,19,2,1716.68,5,2,3,523,Recent Customers
CUST00129,83,3,3369.08,3,3,4,334,Regular Customers
CUST00130,88,1,1272.47,2,1,2,212,At Risk
CUST00131,67,6,6830.01,3,5,5,355,Loyal Customers
CUST00132,117,5,4876.780000000001,2,4,5,245,Loyal Customers
CUST00133,54,8,5982.58,3,5,5,355,Loyal Customers
CUST00134,35,5,4075.34,4,4,5,445,Champions
CUST00135,333,4,2534.18,1,4,3,143,Loyal Customers
CUST00136,71,1,514.9,3,1,1,311,Regular Customers
CUST00137,177,2,1035.87,1,2,2,122,At Risk
CUST00138,61,1,905.11,3,1,2,312,Regular Customers
CUST00139,28,2,1715.4,4,2,3,423,Recent Customers
CUST00140,6,4,3768.34,5,4,4,544,Champions
CUST00141,28,1,647.85,4,1,1,411,Recent Customers
CUST00142,169,5,1880.0,1,4,3,143,Loyal Customers
CUST00143,32,6,7407.96,4,5,5,455,Champions
CUST00144,86,9,6186.54,2,5,5,255,Loyal Customers
CUST00145,30,1,502.35,4,1,1,411,Recent Customers
CUST00146,108,5,5838.500799999999,2,4,5,245,Loyal Customers
CUST00147,84,3,2809.3199999999997,3,3,4,334,Regular Customers
CUST00148,4,4,3013.01,5,4,4,544,Champions
CUST00149,8,1,787.94,5,1,2,512,Recent Customers
CUST00150,45,3,1355.63,4,3,2,432,Regular Customers
CUST00151,62,7,5530.69,3,5,5,355,Loyal Customers
CUST00152,46,7,4989.280000000001,4,5,5,455,Champions
CUST00153,3,1,977.12,5,1,2,512,Recent Customers
CUST00154,10,8,7145.24,5,5,5,555,Champions
CUST00155,2,3,2024.8,5,3,3,533,Regular Customers
CUST00156,34,2,4117.160799999999,4,2,5,425,Big Spenders
CUST00157,0,5,2269.91,5,4,3,543,Loyal Customers
CUST00158,155,1,812.34,1,1,2,112,At Risk
CUST00159,474,2,2680.6907999999985,1,2,4,124,At Risk
CUST00160,177,2,1064.66,1,2,2,122,At Risk
CUST00161,20,4,4081.290799999999,5,4,5,545,Champions
CUST00162,91,2,1194.5900000000001,2,2,2,222,At Risk
CUST00163,70,1,275.41,3,1,1,311,Regular Customers
CUST00164,222,5,4657.03,1,4,5,145,Loyal Customers
CUST00165,103,3,1825.77,2,3,3,233,Regular Customers
CUST00166,15,1,1269.41,5,1,2,512,Recent Customers
CUST00167,219,1,423.24,1,1,1,111,At Risk
CUST00168,85,4,4159.16,3,4,5,345,Loyal Customers
CUST00169,222,1,1799.45,1,1,3,113,At Risk
CUST00170,9,10,6759.48,5,5,5,555,Champions
CUST00171,12,1,1077.78,5,1,2,512,Recent Customers
CUST00172,8,7,4910.65,5,5,5,555,Champions
CUST00173,79,5,1431.69,3,4,2,342,Regular Customers
CUST00174,86,6,2361.28,2,5,3,253,Loyal Customers
CUST00175,59,4,3568.3199999999997,3,4,4,344,Loyal Customers
CUST00176,37,3,3830.31,4,3,4,434,Regular Customers
CUST00177,82,2,1003.66,3,2,2,322,Regular Customers
CUST00178,5,8,5602.76,5,5,5,555,Champions
CUST00179,38,3,1585.62,4,3,3,433,Regular Customers
CUST00180,96,2,1570.85,2,2,3,223,At Risk
CUST00181,6,1,1107.73,5,1,2,512,Recent Customers
CUST00182,31,1,305.3,4,1,1,411,Recent Customers
CUST00183,152,3,3246.8900000000003,1,3,4,134,Regular Customers
CUST00184,14,5,5072.85,5,4,5,545,Champions
CUST00185,114,7,4179.18,2,5,5,255,Loyal Customers
CUST00186,41,1,714.65,4,1,1,411,Recent Customers
CUST00187,149,3,1344.75,1,3,2,132,Regular Customers
CUST00188,29,7,5810.17,4,5,5,455,Champions
CUST00189,140,9,5900.65,2,5,5,255,Loyal Customers
CUST00190,6,1,482.88,5,1,1,511,Recent Customers
CUST00191,28,1,149.0,4,1,1,411,Recent Customers
CUST00192,55,3,2263.95,3,3,3,333,Regular Customers
CUST00193,157,1,424.74,1,1,1,111,At Risk
CUST00194,80,5,3878.09,3,4,4,344,Loyal Customers
CUST00195,23,1,654.27,4,1,1,411,Recent Customers
CUST00196,24,2,1272.38,4,2,2,422,Recent Customers
CUST00197,15,9,8415.120799999999,5,5,5,555,Champions
CUST00198,37,9,7595.96,4,5,5,455,Champions
CUST00199,6,4,3273.56,5,4,4,544,Champions
CUST00200,15,6,6234.730799999998,5,5,5,555,Champions
CUST00201,93,7,6691.56,2,5,5,255,Loyal Customers
CUST00202,141,1,1220.26,2,1,2,212,At Risk
CUST00203,114,2,743.3499999999999,2,2,1,221,At Risk
CUST00204,42,5,2706.75,4,4,4,444,Champions
CUST00205,30,5,3202.69,4,4,4,444,Champions
CUST00206,118,10,6479.7,2,5,5,255,Loyal Customers
CUST00207,18,1,193.1,5,1,1,511,Recent Customers
CUST00208,91,6,6865.35,2,5,5,255,Loyal Customers
CUST00209,279,5,3422.88,1,4,4,144,Loyal Customers
CUST00210,128,2,1254.8700000000001,2,2,2,222,At Risk
CUST00211,90,5,6839.710799999999,2,4,5,245,Loyal Customers
CUST00212,204,3,2071.6800000000003,1,3,3,133,Regular Customers
CUST00213,86,2,1680.61,2,2,3,223,At Risk
CUST00214,64,1,1427.16,3,1,2,312,Regular Customers
CUST00215,34,3,1564.1,4,3,3,433,Regular Customers
CUST00216,48,1,1349.42,3,1,2,312,Regular Customers
CUST00217,79,3,1179.94,3,3,2,332,Regular Customers
CUST00218,23,2,1492.68,4,2,2,422,Recent Customers
CUST00219,154,6,2782.79,1,5,4,154,Loyal Customers
CUST00220,25,3,1450.4099999999999,4,3,2,432,Regular Customers
CUST00221,7,2,781.03,5,2,2,522,Recent Customers
CUST00222,186,2,1259.5,1,2,2,122,At Risk
CUST00223,103,1,757.58,2,1,1,211,At Risk
CUST00224,89,2,1839.95,2,2,3,223,At Risk
CUST00225,88,3,3012.6,2,3,4,234,Regular Customers
CUST00226,54,3,2345.42,3,3,3,333,Regular Customers
CUST00227,153,6,4383.02,1,5,5,155,Loyal Customers
CUST00228,82,7,4150.72,3,5,5,355,Loyal Customers
CUST00229,92,5,3077.41,2,4,4,244,Loyal Customers
CUST00230,37,8,7503.74,4,5,5,455,Champions
CUST00231,23,3,1558.41,4,3,3,433,Regular Customers
CUST00232,55,1,786.26,3,1,2,312,Regular Customers
CUST00233,361,3,1626.9899999999998,1,3,3,133,Regular Customers
CUST00234,17,4,2458.9700000000003,5,4,3,543,Loyal Customers
CUST00235,125,4,2278.82,2,4,3,243,Loyal Customers
CUST00236,62,1,782.89,3,1,2,312,Regular Customers
CUST00237,15,4,3607.29,5,4,4,544,Champions
CUST00238,78,2,2181.78,3,2,3,323,Regular Customers
CUST00239,320,1,208.1,1,1,1,111,At Risk
CUST00240,56,2,2277.31,3,2,3,323,Regular Customers
CUST00241,6,3,3041.48,5,3,4,534,Regular Customers
CUST00242,82,6,3655.25,3,5,4,354,Loyal Customers
CUST00243,69,4,3129.06,3,4,4,344,Loyal Customers
CUST00244,144,2,2449.86,2,2,3,223,At Risk
CUST00245,73,2,1245.78,3,2,2,322,Regular Customers
CUST00246,52,3,1985.72,3,3,3,333,Regular Customers
CUST00247,57,11,5611.35,3,5,5,355,Loyal Customers
CUST00248,71,7,4187.5599999999995,3,5,5,355,Loyal Customers
CUST00249,162,3,1761.46,1,3,3,133,Regular Customers
CUST00250,35,1,837.19,4,1,2,412,Recent Customers
CUST00251,41,1,966.73,4,1,2,412,Recent Customers
CUST00252,190,6,5194.02,1,5,5,155,Loyal Customers
CUST00253,191,3,1901.1299999999999,1,3,3,133,Regular Customers
CUST00254,183,4,3041.57,1,4,4,144,Loyal Customers
CUST00255,22,6,4806.29,4,5,5,455,Champions
CUST00256,181,2,1727.8400000000001,1,2,3,123,At Risk
CUST00257,55,2,1042.47,3,2,2,322,Regular Customers
CUST00258,42,10,6259.64,4,5,5,455,Champions
CUST00259,192,1,1519.33,1,1,2,112,At Risk
CUST00260,2,2,1820.81,5,2,3,523,Recent Customers
CUST00261,51,1,350.44,3,1,1,311,Regular Customers
CUST00262,9,2,1318.44,5,2,2,522,Recent Customers
CUST00263,25,12,7940.0,4,5,5,455,Champions
CUST00264,31,2,671.0999999999999,4,2,1,421,Recent Customers
CUST00265,77,1,510.24,3,1,1,311,Regular Customers
CUST00266,158,4,5306.62,1,4,5,145,Loyal Customers
CUST00267,29,4,4009.840799999999,4,4,5,445,Champions
CUST00268,9,3,2097.02,5,3,3,533,Regular Customers
CUST00269,30,3,2563.9300000000003,4,3,4,434,Regular Customers
CUST00270,75,2,968.72,3,2,2,322,Regular Customers
CUST00271,32,4,3933.98,4,4,4,444,Champions
CUST00272,12,13,13721.27,5,5,5,555,Champions
CUST00273,13,8,6009.55,5,5,5,555,Champions
CUST00274,71,1,695.0,3,1,1,311,Regular Customers
CUST00275,241,6,3879.21,1,5,4,154,Loyal Customers
CUST00276,47,6,8461.381599999997,3,5,5,355,Loyal Customers
CUST00277,2,3,1630.27,5,3,3,533,Regular Customers
CUST00278,69,4,2768.06,3,4,4,344,Loyal Customers
CUST00279,12,8,5366.55,5,5,5,555,Champions
CUST00280,10,8,7231.759999999999,5,5,5,555,Champions
CUST00281,35,2,1161.06,4,2,2,422,Recent Customers
CUST00282,296,2,774.76,1,2,2,122,At Risk
CUST00283,18,10,7871.0,5,5,5,555,Champions
CUST00284,291,2,781.62,1,2,2,122,At Risk
CUST00285,13,4,2158.18,5,4,3,543,Loyal Customers
CUST00286,369,2,2027.25,1,2,3,123,At Risk
CUST00287,69,6,6236.95,3,5,5,355,Loyal Customers
CUST00288,110,2,1096.1,2,2,2,222,At Risk
CUST00289,5,2,811.06,5,2,2,522,Recent Customers
CUST00290,9,1,251.16,5,1,1,511,Recent Customers
CUST00291,58,9,5604.34,3,5,5,355,Loyal Customers
CUST00292,43,1,657.91,4,1,1,411,Recent Customers
CUST00293,230,3,1699.71,1,3,3,133,Regular Customers
CUST00294,102,1,1714.42,2,1,3,213,At Risk
CUST00295,16,2,2000.29,5,2,3,523,Recent Customers
CUST00296,132,4,1989.83,2,4,3,243,Loyal Customers
CUST00297,154,1,1130.29,1,1,2,112,At Risk
CUST00298,201,1,1122.99,1,1,2,112,At Risk
CUST00299,343,4,2302.1800000000003,1,4,3,143,Loyal Customers
CUST00300,5,4,2276.6099999999997,5,4,3,543,Loyal Customers
CUST00301,9,7,7023.07,5,5,5,555,Champions
CUST00302,148,4,2534.0,1,4,3,143,Loyal Customers
CUST00303,48,5,3674.2,3,4,4,344,Loyal Customers
CUST00304,87,3,2837.27,2,3,4,234,Regular Customers
CUST00305,166,1,531.59,1,1,1,111,At Risk
CUST00306,19,5,3658.35,5,4,4,544,Champions
CUST00307,32,3,2114.17,4,3,3,433,Regular Customers
CUST00308,66,2,1535.15,3,2,2,322,Regular Customers
CUST00309,8,3,2731.6099999999997,5,3,4,534,Regular Customers
CUST00310,22,1,578.27,4,1,1,411,Recent Customers
CUST00311,48,1,1336.82,3,1,2,312,Regular Customers
CUST00312,64,1,486.27,3,1,1,311,Regular Customers
CUST00313,162,1,769.77,1,1,1,111,At Risk
CUST00314,16,1,560.98,5,1,1,511,Recent Customers
CUST00315,17,10,10137.960000000001,5,5,5,555,Champions
CUST00316,97,2,1079.82,2,2,2,222,At Risk
CUST00317,100,1,1353.24,2,1,2,212,At Risk
CUST00318,47,5,5959.01,3,4,5,345,Loyal Customers
CUST00319,147,6,2585.4700000000003,2,5,4,254,Loyal Customers
CUST00320,25,7,5001.34,4,5,5,455,Champions
CUST00321,116,6,3100.54,2,5,4,254,Loyal Customers
CUST00322,4,5,3351.86,5,4,4,544,Champions
CUST00323,5,8,7225.06,5,5,5,555,Champions
CUST00324,274,4,5041.530799999999,1,4,5,145,Loyal Customers
CUST00325,44,3,3234.5307999999986,4,3,4,434,Regular Customers
CUST00326,124,3,1868.65,2,3,3,233,Regular Customers
CUST00327,2,3,1087.67,5,3,2,532,Regular Customers
CUST00328,322,1,371.68,1,1,1,111,At Risk
CUST00329,1,1,299.28,5,1,1,511,Recent Customers
CUST00330,74,3,1307.8000000000002,3,3,2,332,Regular Customers
CUST00331,151,5,3450.66,1,4,4,144,Loyal Customers
CUST00332,24,2,2059.8,4,2,3,423,Recent Customers
CUST00333,75,1,870.15,3,1,2,312,Regular Customers
CUST00334,85,3,2170.31,3,3,3,333,Regular Customers
CUST00335,148,3,2480.1,1,3,3,133,Regular Customers
CUST00336,29,4,1900.82,4,4,3,443,Loyal Customers
CUST00337,7,2,1887.73,5,2,3,523,Recent Customers
CUST00338,12,1,887.38,5,1,2,512,Recent Customers
CUST00339,92,4,2671.88,2,4,4,244,Loyal Customers
CUST00340,46,8,5565.53,4,5,5,455,Champions
CUST00341,19,1,790.16,5,1,2,512,Recent Customers
CUST00342,1,3,2620.58,5,3,4,534,Regular Customers
CUST00343,94,5,2489.52,2,4,3,243,Loyal Customers
CUST00344,189,5,4461.57,1,4,5,145,Loyal Customers
CUST00345,3,5,5242.620799999999,5,4,5,545,Champions
CUST00346,72,11,10011.3,3,5,5,355,Loyal Customers
CUST00347,184,4,3311.46,1,4,4,144,Loyal Customers
CUST00348,1,3,2509.74,5,3,3,533,Regular Customers
CUST00349,74,4,3794.38,3,4,4,344,Loyal Customers
CUST00350,41,1,537.51,4,1,1,411,Recent Customers
CUST00351,9,7,7207.510799999998,5,5,5,555,Champions
CUST00352,27,1,1000.77,4,1,2,412,Recent Customers
CUST00353,118,4,1755.1200000000001,2,4,3,243,Loyal Customers
CUST00354,36,5,2894.64,4,4,4,444,Champions
CUST00355,171,4,3405.2,1,4,4,144,Loyal Customers
CUST00356,7,5,2474.34,5,4,3,543,Loyal Customers
CUST00357,42,1,513.15,4,1,1,411,Recent Customers
CUST00358,101,2,1523.3600000000001,2,2,2,222,At Risk
CUST00359,3,8,6332.549999999999,5,5,5,555,Champions
CUST00360,2,6,8052.9800000000005,5,5,5,555,Champions
CUST00361,169,1,361.04,1,1,1,111,At Risk
CUST00362,23,4,2137.19,4,4,3,443,Loyal Customers
CUST00363,27,1,413.99,4,1,1,411,Recent Customers
CUST00364,359,3,2049.88,1,3,3,133,Regular Customers
CUST00365,158,1,1015.06,1,1,2,112,At Risk
CUST00366,92,4,5279.17,2,4,5,245,Loyal Customers
CUST00367,212,1,884.81,1,1,2,112,At Risk
CUST00368,55,1,348.81,3,1,1,311,Regular Customers
CUST00369,71,3,2263.62,3,3,3,333,Regular Customers
CUST00370,172,1,452.14,1,1,1,111,At Risk
CUST00371,124,3,2631.54,2,3,4,234,Regular Customers
CUST00372,56,1,431.11,3,1,1,311,Regular Customers
CUST00373,73,2,1612.8899999999999,3,2,3,323,Regular Customers
CUST00374,219,2,795.8299999999999,1,2,2,122,At Risk
CUST00375,85,6,3564.29,2,5,4,254,Loyal Customers
CUST00376,45,8,5532.45,4,5,5,455,Champions
CUST00377,80,4,2214.32,3,4,3,343,Loyal Customers
CUST00378,99,1,1622.32,2,1,3,213,At Risk
CUST00379,75,2,1029.97,3,2,2,322,Regular Customers
CUST00380,39,6,3460.9,4,5,4,454,Champions
CUST00381,182,1,597.86,1,1,1,111,At Risk
CUST00382,45,2,766.55,4,2,1,421,Recent Customers
CUST00383,8,6,4050.1099999999997,5,5,5,555,Champions
CUST00384,26,1,470.31,4,1,1,411,Recent Customers
CUST00385,63,7,5606.02,3,5,5,355,Loyal Customers
CUST00386,0,6,4989.88,5,5,5,555,Champions
CUST00387,40,1,721.21,4,1,1,411,Recent Customers
CUST00388,37,5,2574.36,4,4,4,444,Champions
CUST00389,14,9,6570.38,5,5,5,555,Champions
CUST00390,54,2,1639.4299999999998,3,2,3,323,Regular Customers
CUST00391,1,3,2830.86,5,3,4,534,Regular Customers
CUST00392,133,7,5290.95,2,5,5,255,Loyal Customers
CUST00393,12,2,2231.04,5,2,3,523,Recent Customers
CUST00394,1,1,404.19,5,1,1,511,Recent Customers
CUST00395,35,3,1418.71,4,3,2,432,Regular Customers
CUST00396,10,5,3031.7799999999997,5,4,4,544,Champions
CUST00397,79,11,9647.73,3,5,5,355,Loyal Customers
CUST00398,8,4,2823.02,5,4,4,544,Champions
CUST00399,262,4,2749.65,1,4,4,144,Loyal Customers
CUST00400,44,1,402.05,4,1,1,411,Recent Customers
CUST00401,66,1,568.99,3,1,1,311,Regular Customers
CUST00402,132,3,1410.06,2,3,2,232,Regular Customers
CUST00403,21,2,2029.3200000000002,4,2,3,423,Recent Customers
CUST00404,193,6,4631.52,1,5,5,155,Loyal Customers
CUST00405,2,1,282.03,5,1,1,511,Recent Customers
CUST00406,10,3,997.27,5,3,2,532,Regular Customers
CUST00407,18,1,1569.01,5,1,3,513,Recent Customers
CUST00408,40,7,4155.91,4,5,5,455,Champions
CUST00409,58,7,4946.35,3,5,5,355,Loyal Customers
CUST00410,1,2,1365.22,5,2,2,522,Recent Customers
CUST00411,253,1,1756.76,1,1,3,113,At Risk
CUST00412,529,1,1486.51,1,1,2,112,At Risk
CUST00413,26,3,1644.89,4,3,3,433,Regular Customers
CUST00414,3,1,311.44,5,1,1,511,Recent Customers
CUST00415,120,2,2282.07,2,2,3,223,At Risk
CUST00416,28,2,1020.28,4,2,2,422,Recent Customers
CUST00417,151,4,2750.0299999999997,1,4,4,144,Loyal Customers
CUST00418,5,2,1919.75,5,2,3,523,Recent Customers
CUST00419,98,2,1795.1,2,2,3,223,At Risk
CUST00420,18,4,4050.29,5,4,5,545,Champions
CUST00421,0,7,5557.389999999999,5,5,5,555,Champions
CUST00422,125,2,1075.03,2,2,2,222,At Risk
CUST00423,135,3,2349.76,2,3,3,233,Regular Customers
CUST00424,113,2,1297.49,2,2,2,222,At Risk
CUST00425,113,2,1502.44,2,2,2,222,At Risk
CUST00426,77,2,1478.25,3,2,2,322,Regular Customers
CUST00427,1,2,331.53,5,2,1,521,Recent Customers
CUST00428,74,5,2817.05,3,4,4,344,Loyal Customers
CUST00429,6,1,432.48,5,1,1,511,Recent Customers
CUST00430,22,3,2369.81,4,3,3,433,Regular Customers
CUST00431,154,2,903.65,1,2,2,122,At Risk
CUST00432,112,4,4954.810799999998,2,4,5,245,Loyal Customers
CUST00433,36,6,4884.34,4,5,5,455,Champions
CUST00434,293,2,1034.35,1,2,2,122,At Risk
CUST00435,200,3,1740.56,1,3,3,133,Regular Customers
CUST00436,49,4,2770.92,3,4,4,344,Loyal Customers
CUST00437,151,1,729.22,1,1,1,111,At Risk
CUST00438,64,3,2466.39,3,3,3,333,Regular Customers
CUST00439,119,3,1981.34,2,3,3,233,Regular Customers
CUST00440,64,1,325.03,3,1,1,311,Regular Customers
CUST00441,211,1,786.67,1,1,2,112,At Risk
CUST00442,69,8,4905.34,3,5,5,355,Loyal Customers
CUST00443,265,3,1694.35,1,3,3,133,Regular Customers
CUST00444,232,1,520.84,1,1,1,111,At Risk
CUST00445,26,1,1594.8,4,1,3,413,Recent Customers
CUST00446,26,1,521.16,4,1,1,411,Recent Customers
CUST00447,36,7,3091.4,4,5,4,454,Champions
CUST00448,136,5,4291.91,2,4,5,245,Loyal Customers
CUST00449,209,2,661.52,1,2,1,121,At Risk
CUST00450,44,1,862.9,4,1,2,412,Recent Customers
CUST00451,29,4,3636.0,4,4,4,444,Champions
CUST00452,256,6,1929.85,1,5,3,153,Loyal Customers
CUST00453,17,4,3032.93,5,4,4,544,Champions
CUST00454,13,4,2655.42,5,4,4,544,Champions
CUST00455,273,3,1616.76,1,3,3,133,Regular Customers
CUST00456,147,4,3440.2,2,4,4,244,Loyal Customers
CUST00457,321,2,1371.21,1,2,2,122,At Risk
CUST00458,4,2,1371.81,5,2,2,522,Recent Customers
CUST00459,237,3,2928.0299999999997,1,3,4,134,Regular Customers
CUST00460,19,11,9241.95,5,5,5,555,Champions
CUST00461,194,4,1579.47,1,4,3,143,Loyal Customers
CUST00462,35,3,2689.5,4,3,4,434,Regular Customers
CUST00463,29,4,5048.68,4,4,5,445,Champions
CUST00464,106,10,6495.79,2,5,5,255,Loyal Customers
CUST00465,177,1,1298.74,1,1,2,112,At Risk
CUST00466,25,10,5238.91,4,5,5,455,Champions
CUST00467,3,2,1180.98,5,2,2,522,Recent Customers
CUST00468,198,2,1077.8600000000001,1,2,2,122,At Risk
