customer_id,Recency,Frequency,Monetary,R_score,F_score,M_score,RFM_Score,Segment,churn_next_60d,snapshot_date,sessions_30d,product_views_30d,cart_adds_30d,wishlist_adds_30d,abandoned_carts_30d,email_opens_30d,campaign_clicks_30d,last_visit_days_ago,sentiment_score,reopened,resolution_hours,Retention_Priority,churn_flag,retention_value,expected_net_value
CUST00020,368,3,4120.680799999998,1,3,5,135,Big Spenders,1,2025-09-30,0,0,0,0,0,0,0,60,-0.95,0.0,28.9,Critical Retention,1,4120.680799999998,3970.6807999999983
CUST00021,77,2,1059.3,3,2,2,322,Regular Customers,1,2025-09-30,3,14,1,1,0,2,0,18,-0.85,0.0,20.1,Regular Engagement,1,1059.3,909.3
CUST00022,29,1,454.06,4,1,1,411,Recent Customers,0,2025-09-30,10,33,5,1,2,4,1,0,,,,Onboarding & Nurture,0,0.0,-150.0
CUST00023,21,1,400.98,4,1,1,411,Recent Customers,0,2025-09-30,3,15,1,1,1,4,1,7,,,,Onboarding & Nurture,0,0.0,-150.0
CUST00024,4,1,481.35,5,1,1,511,Recent Customers,0,2025-09-30,13,71,3,2,2,3,0,0,,,,Onboarding & Nurture,0,0.0,-150.0
CUST00025,165,7,4868.86,1,5,5,155,Loyal Customers,1,2025-09-30,11,54,2,3,1,6,1,29,-0.22666666666666668,1.0,18.0,Engagement Recovery,1,4868.86,4718.86
CUST00026,72,3,3561.3900000000003,3,3,4,334,Regular Customers,0,2025-09-30,14,55,3,3,0,1,0,26,-0.63,0.0,20.0,Regular Engagement,0,0.0,-150.0
CUST00027,70,1,2128.34,3,1,3,313,Regular Customers,0,2025-09-30,11,44,3,2,1,5,2,18,-0.13,0.0,8.0,Regular Engagement,0,0.0,-150.0
CUST00028,83,2,1489.7800000000002,3,2,2,322,Regular Customers,0,2025-09-30,1,4,1,0,0,3,0,19,0.39,0.0,1.0,Regular Engagement,0,0.0,-150.0
CUST00029,18,8,5252.9,5,5,5,555,Champions,0,2025-09-30,1,6,0,0,0,0,0,0,,,,Regular Engagement,0,0.0,-150.0
CUST00030,5,6,3435.5899999999997,5,5,4,554,Champions,0,2025-09-30,11,31,2,3,1,0,0,3,-0.41500000000000004,0.0,27.65,Service Recovery,0,0.0,-150.0
CUST00031,49,1,672.95,3,1,1,311,Regular Customers,1,2025-09-30,6,35,3,0,1,0,0,9,,,,Regular Engagement,1,672.95,522.95
CUST00032,33,3,1948.75,4,3,3,433,Regular Customers,0,2025-09-30,12,70,4,2,1,0,0,13,,,,Regular Engagement,0,0.0,-150.0
CUST00033,12,4,2128.09,5,3,3,533,Regular Customers,0,2025-09-30,7,41,2,2,1,3,0,7,-0.94,0.0,36.349999999999994,Regular Engagement,0,0.0,-150.0
CUST00034,50,6,3353.01,3,5,4,354,Loyal Customers,0,2025-09-30,7,30,4,1,2,8,2,0,-0.22999999999999998,1.0,17.099999999999998,Regular Engagement,0,0.0,-150.0
CUST00035,127,3,1369.71,2,3,2,232,Regular Customers,1,2025-09-30,6,25,2,1,1,8,0,25,,,,Regular Engagement,1,1369.71,1219.71
CUST00036,27,4,1737.33,4,3,3,433,Regular Customers,1,2025-09-30,0,0,0,0,0,0,0,14,-0.17,0.0,27.9,Regular Engagement,1,1737.33,1587.33
CUST00037,102,1,435.83,2,1,1,211,At Risk,0,2025-09-30,5,28,2,0,0,3,0,28,,,,Win-Back Campaign,0,0.0,-150.0
CUST00038,51,4,2104.61,3,3,3,333,Regular Customers,0,2025-09-30,5,23,1,0,0,5,0,14,0.13,1.0,21.9,Regular Engagement,0,0.0,-150.0
CUST00039,15,3,1598.49,5,3,3,533,Regular Customers,0,2025-09-30,6,20,1,1,0,3,1,4,,,,Regular Engagement,0,0.0,-150.0
CUST00040,154,1,634.73,1,1,1,111,At Risk,1,2025-09-30,1,4,0,0,0,1,0,42,0.0,0.0,33.9,Win-Back Campaign,1,634.73,484.73
CUST00041,54,4,1911.8600000000001,3,3,3,333,Regular Customers,1,2025-09-30,5,19,1,1,0,4,2,22,-1.0,0.0,53.0,Regular Engagement,1,1911.8600000000001,1761.8600000000001
CUST00042,87,9,7523.74,2,5,5,255,Loyal Customers,0,2025-09-30,3,13,1,0,0,7,2,14,-0.455,2.0,12.0,Regular Engagement,0,0.0,-150.0
CUST00043,24,1,363.01,4,1,1,411,Recent Customers,0,2025-09-30,3,16,0,0,0,0,0,0,,,,Onboarding & Nurture,0,0.0,-150.0
CUST00044,72,3,2724.09,3,3,4,334,Regular Customers,0,2025-09-30,6,27,2,1,1,4,2,10,-1.0,1.0,46.7,Regular Engagement,0,0.0,-150.0
CUST00045,96,1,413.75,2,1,1,211,At Risk,1,2025-09-30,6,16,1,1,0,3,1,10,,,,Win-Back Campaign,1,413.75,263.75
CUST00046,127,1,489.87,2,1,1,211,At Risk,1,2025-09-30,7,31,4,2,1,10,0,29,,,,Win-Back Campaign,1,489.87,339.87
CUST00047,204,1,764.43,1,1,1,111,At Risk,1,2025-09-30,2,9,1,0,0,3,1,36,,,,Win-Back Campaign,1,764.43,614.43
CUST00048,61,4,2450.45,3,3,3,333,Regular Customers,0,2025-09-30,12,38,2,2,1,0,0,12,-0.08,0.0,30.0,Regular Engagement,0,0.0,-150.0
CUST00049,8,1,380.83,5,1,1,511,Recent Customers,0,2025-09-30,4,13,1,1,1,3,1,0,,,,Onboarding & Nurture,0,0.0,-150.0
CUST00050,0,3,2466.39,5,3,3,533,Regular Customers,0,2025-09-30,3,12,1,1,0,3,1,0,-1.0,0.0,57.7,Regular Engagement,0,0.0,-150.0
CUST00051,210,4,4444.3,1,3,5,135,Big Spenders,1,2025-09-30,6,32,2,1,1,8,2,35,-0.385,0.0,42.2,Critical Retention,1,4444.3,4294.3
CUST00052,55,3,2807.14,3,3,4,334,Regular Customers,1,2025-09-30,7,34,2,1,1,0,0,8,-1.0,0.0,18.7,Regular Engagement,1,2807.14,2657.14
CUST00053,25,4,4192.59,4,3,5,435,Big Spenders,0,2025-09-30,9,29,2,2,1,3,1,5,-0.565,1.0,47.150000000000006,Service Recovery,0,0.0,-150.0
CUST00054,6,1,489.85,5,1,1,511,Recent Customers,0,2025-09-30,3,12,1,0,0,0,0,0,,,,Onboarding & Nurture,0,0.0,-150.0
CUST00055,3,3,1308.35,5,3,2,532,Regular Customers,0,2025-09-30,6,32,2,1,1,7,2,0,-1.0,0.0,46.3,Regular Engagement,0,0.0,-150.0
CUST00056,9,4,3530.41,5,3,4,534,Regular Customers,0,2025-09-30,3,15,1,1,1,0,0,0,-0.08,0.0,19.9,Regular Engagement,0,0.0,-150.0
CUST00057,136,2,2510.83,2,2,3,223,At Risk,1,2025-09-30,7,21,1,0,0,9,1,29,,,,Win-Back Campaign,1,2510.83,2360.83
CUST00058,42,4,2451.54,4,3,3,433,Regular Customers,0,2025-09-30,2,6,1,0,0,8,4,6,,,,Regular Engagement,0,0.0,-150.0
CUST00059,2,3,2852.63,5,3,4,534,Regular Customers,0,2025-09-30,3,11,1,0,0,0,0,2,,,,Regular Engagement,0,0.0,-150.0
CUST00060,145,1,293.22,2,1,1,211,At Risk,1,2025-09-30,5,26,2,1,0,0,0,20,,,,Win-Back Campaign,1,293.22,143.22000000000003
CUST00061,14,4,1966.0900000000001,5,3,3,533,Regular Customers,0,2025-09-30,4,19,2,0,1,2,1,15,-0.33,0.0,23.6,Regular Engagement,0,0.0,-150.0
CUST00062,21,4,2805.19,4,3,4,434,Regular Customers,0,2025-09-30,9,30,3,2,1,7,1,0,-0.28,0.0,12.6,Regular Engagement,0,0.0,-150.0
CUST00063,216,1,397.69,1,1,1,111,At Risk,1,2025-09-30,0,0,0,0,0,3,0,24,-0.03,0.0,19.1,Win-Back Campaign,1,397.69,247.69
CUST00064,2,1,654.93,5,1,1,511,Recent Customers,0,2025-09-30,8,42,4,1,3,0,0,0,,,,Onboarding & Nurture,0,0.0,-150.0
CUST00065,6,1,1911.67,5,1,3,513,Recent Customers,0,2025-09-30,3,18,0,1,0,4,2,0,,,,Onboarding & Nurture,0,0.0,-150.0
CUST00066,320,5,4494.590799999998,1,4,5,145,Loyal Customers,1,2025-09-30,11,35,2,2,1,5,1,60,-1.0,0.0,23.9,Engagement Recovery,1,4494.590799999998,4344.590799999998
CUST00067,63,2,1246.44,3,2,2,322,Regular Customers,1,2025-09-30,1,3,0,0,0,4,2,5,-0.24,0.0,16.4,Regular Engagement,1,1246.44,1096.44
CUST00068,346,3,2123.66,1,3,3,133,Regular Customers,1,2025-09-30,5,18,0,1,0,3,1,60,-1.0,0.0,23.7,Regular Engagement,1,2123.66,1973.6599999999999
CUST00069,29,2,874.47,4,2,2,422,Recent Customers,1,2025-09-30,9,48,1,2,0,7,1,0,,,,Onboarding & Nurture,1,874.47,724.47
CUST00070,38,1,542.98,4,1,1,411,Recent Customers,1,2025-09-30,1,4,0,0,0,1,0,18,,,,Onboarding & Nurture,1,542.98,392.98
CUST00071,32,1,2062.5,4,1,3,413,Recent Customers,1,2025-09-30,1,3,0,0,0,6,2,12,-0.29,0.0,33.0,Onboarding & Nurture,1,2062.5,1912.5
CUST00072,90,4,2587.02,2,3,4,234,Regular Customers,1,2025-09-30,7,26,3,2,2,5,1,26,,,,Regular Engagement,1,2587.02,2437.02
CUST00073,8,5,4077.07,5,4,5,545,Champions,0,2025-09-30,7,35,1,0,0,4,1,0,,,,Regular Engagement,0,0.0,-150.0
CUST00074,7,4,2523.65,5,4,3,543,Loyal Customers,0,2025-09-30,14,51,3,2,1,2,1,22,-0.35,0.0,29.3,Engagement Recovery,0,0.0,-150.0
CUST00075,3,9,6791.61,5,5,5,555,Champions,0,2025-09-30,10,43,2,1,1,0,0,13,-0.3525,1.0,27.125,Service Recovery,0,0.0,-150.0
CUST00076,20,2,1385.27,5,2,2,522,Recent Customers,0,2025-09-30,17,78,7,5,4,0,0,8,,,,Onboarding & Nurture,0,0.0,-150.0
CUST00077,109,1,394.32,2,1,1,211,At Risk,1,2025-09-30,0,0,0,0,0,0,0,20,,,,Win-Back Campaign,1,394.32,244.32
CUST00078,139,1,894.45,2,1,2,212,At Risk,1,2025-09-30,5,13,1,1,0,0,0,38,-1.0,1.0,25.7,Win-Back Campaign,1,894.45,744.45
CUST00079,191,1,619.57,1,1,1,111,At Risk,1,2025-09-30,2,8,0,0,0,0,0,31,,,,Win-Back Campaign,1,619.57,469.57000000000005
CUST00080,50,3,2563.41,3,3,4,334,Regular Customers,0,2025-09-30,11,31,4,1,2,0,0,3,,,,Regular Engagement,0,0.0,-150.0
CUST00081,19,8,5311.16,5,5,5,555,Champions,0,2025-09-30,12,63,4,2,1,0,0,0,-0.8333333333333334,1.0,17.333333333333332,Service Recovery,0,0.0,-150.0
CUST00082,254,3,1671.25,1,3,3,133,Regular Customers,1,2025-09-30,7,35,2,1,1,7,3,44,,,,Regular Engagement,1,1671.25,1521.25
CUST00083,89,2,806.87,2,2,2,222,At Risk,1,2025-09-30,9,43,2,1,1,0,0,17,-1.0,1.0,11.0,Win-Back Campaign,1,806.87,656.87
CUST00084,167,1,1273.18,1,1,2,112,At Risk,1,2025-09-30,11,60,5,1,2,3,1,34,,,,Win-Back Campaign,1,1273.18,1123.18
CUST00085,14,1,1257.8,5,1,2,512,Recent Customers,1,2025-09-30,8,34,0,1,0,0,0,0,,,,Onboarding & Nurture,1,1257.8,1107.8
CUST00086,21,5,2195.41,4,4,3,443,Loyal Customers,0,2025-09-30,7,39,2,1,1,5,2,0,-0.48,0.0,6.6,Regular Engagement,0,0.0,-150.0
CUST00087,44,1,933.58,4,1,2,412,Recent Customers,0,2025-09-30,1,4,0,0,0,0,0,15,,,,Onboarding & Nurture,0,0.0,-150.0
CUST00088,98,12,6774.5,2,5,5,255,Loyal Customers,1,2025-09-30,9,29,2,1,1,1,0,18,-0.88,1.0,17.1,Regular Engagement,1,6774.5,6624.5
CUST00089,165,2,2825.75,1,2,4,124,At Risk,1,2025-09-30,12,40,1,2,0,6,3,31,,,,Win-Back Campaign,1,2825.75,2675.75
CUST00090,80,4,1966.31,3,4,3,343,Loyal Customers,0,2025-09-30,5,25,3,1,1,0,0,36,-0.55,0.0,18.5,Engagement Recovery,0,0.0,-150.0
CUST00091,90,4,3667.4007999999985,2,4,4,244,Loyal Customers,0,2025-09-30,9,51,5,2,2,0,0,11,0.12,0.0,24.2,Regular Engagement,0,0.0,-150.0
CUST00092,21,1,430.85,4,1,1,411,Recent Customers,0,2025-09-30,1,5,0,0,0,0,0,3,,,,Onboarding & Nurture,0,0.0,-150.0
CUST00093,85,1,759.64,3,1,1,311,Regular Customers,1,2025-09-30,16,67,7,3,3,9,4,21,,,,Regular Engagement,1,759.64,609.64
CUST00094,183,4,3557.43,1,4,4,144,Loyal Customers,1,2025-09-30,6,20,2,1,1,4,1,60,-0.16999999999999998,0.0,4.35,Engagement Recovery,1,3557.43,3407.43
CUST00095,65,1,372.65,3,1,1,311,Regular Customers,1,2025-09-30,10,57,1,2,1,2,1,7,-0.38,1.0,5.3,Regular Engagement,1,372.65,222.64999999999998
CUST00096,61,3,1563.75,3,3,3,333,Regular Customers,0,2025-09-30,12,67,2,2,1,0,0,15,-1.0,0.0,32.9,Regular Engagement,0,0.0,-150.0
CUST00097,1,7,4703.46,5,5,5,555,Champions,0,2025-09-30,0,0,0,0,0,0,0,0,-0.49,0.0,45.4,Service Recovery,0,0.0,-150.0
CUST00098,184,2,1843.57,1,2,3,123,At Risk,1,2025-09-30,8,34,0,2,0,0,0,49,-0.25,0.0,26.4,Win-Back Campaign,1,1843.57,1693.57
CUST00099,144,5,3410.87,2,4,4,244,Loyal Customers,0,2025-09-30,4,17,2,1,0,5,2,27,-0.61,0.0,23.3,Engagement Recovery,0,0.0,-150.0
CUST00100,70,1,372.37,3,1,1,311,Regular Customers,0,2025-09-30,1,3,0,0,0,0,0,29,,,,Regular Engagement,0,0.0,-150.0
CUST00101,108,5,3514.87,2,4,4,244,Loyal Customers,1,2025-09-30,2,6,1,0,1,0,0,27,-0.915,0.0,28.299999999999997,Engagement Recovery,1,3514.87,3364.87
CUST00102,83,1,732.65,3,1,1,311,Regular Customers,0,2025-09-30,2,11,1,0,0,1,0,7,,,,Regular Engagement,0,0.0,-150.0
CUST00103,21,1,1469.96,4,1,2,412,Recent Customers,0,2025-09-30,6,18,2,1,1,4,1,0,,,,Onboarding & Nurture,0,0.0,-150.0
CUST00104,93,1,955.63,2,1,2,212,At Risk,1,2025-09-30,3,9,1,0,0,3,0,27,,,,Win-Back Campaign,1,955.63,805.63
CUST00105,46,1,2052.43,4,1,3,413,Recent Customers,0,2025-09-30,1,6,0,0,0,3,0,3,,,,Onboarding & Nurture,0,0.0,-150.0
CUST00106,61,7,4352.11,3,5,5,355,Loyal Customers,1,2025-09-30,5,19,1,1,0,0,0,21,-1.0,0.0,51.6,Engagement Recovery,1,4352.11,4202.11
CUST00107,12,3,3548.15,5,3,4,534,Regular Customers,0,2025-09-30,2,8,1,0,1,0,0,10,,,,Regular Engagement,0,0.0,-150.0
CUST00108,44,1,1074.5,4,1,2,412,Recent Customers,1,2025-09-30,5,24,0,0,0,0,0,11,-0.73,0.0,18.1,Onboarding & Nurture,1,1074.5,924.5
CUST00109,92,5,3837.05,2,4,4,244,Loyal Customers,0,2025-09-30,1,4,0,0,0,3,1,16,,,,Regular Engagement,0,0.0,-150.0
CUST00110,35,6,3922.07,4,5,4,454,Champions,1,2025-09-30,4,15,1,1,0,0,0,8,-0.565,1.0,34.9,Critical Retention,1,3922.07,3772.07
CUST00111,178,1,1135.09,1,1,2,112,At Risk,1,2025-09-30,3,14,0,0,0,1,0,33,,,,Win-Back Campaign,1,1135.09,985.0899999999999
CUST00112,0,8,5576.25,5,5,5,555,Champions,0,2025-09-30,4,15,1,1,0,0,0,0,-0.31,0.0,1.9,Service Recovery,0,0.0,-150.0
CUST00113,28,2,1601.31,4,2,3,423,Recent Customers,0,2025-09-30,17,65,2,5,0,0,0,2,,,,Onboarding & Nurture,0,0.0,-150.0
CUST00114,239,6,5133.53,1,5,5,155,Loyal Customers,1,2025-09-30,3,14,1,0,0,4,1,41,-0.75,0.0,26.8,Engagement Recovery,1,5133.53,4983.53
CUST00115,159,1,596.54,1,1,1,111,At Risk,1,2025-09-30,12,51,1,2,0,10,2,23,-0.77,0.0,29.1,Win-Back Campaign,1,596.54,446.53999999999996
CUST00116,143,6,5635.9,2,5,5,255,Loyal Customers,1,2025-09-30,10,45,1,1,0,4,2,26,,,,Engagement Recovery,1,5635.9,5485.9
CUST00117,123,4,2534.33,2,4,3,243,Loyal Customers,1,2025-09-30,2,7,1,0,0,0,0,27,,,,Engagement Recovery,1,2534.33,2384.33
CUST00118,27,1,689.56,4,1,1,411,Recent Customers,0,2025-09-30,2,9,1,0,0,0,0,1,,,,Onboarding & Nurture,0,0.0,-150.0
CUST00119,69,3,2848.36,3,3,4,334,Regular Customers,0,2025-09-30,12,63,2,2,1,0,0,1,-0.07,0.0,6.0,Regular Engagement,0,0.0,-150.0
CUST00120,26,1,261.95,4,1,1,411,Recent Customers,0,2025-09-30,6,21,3,0,1,0,0,5,,,,Onboarding & Nurture,0,0.0,-150.0
CUST00121,27,2,2496.0299999999997,4,2,3,423,Recent Customers,0,2025-09-30,5,29,2,1,1,3,1,2,,,,Onboarding & Nurture,0,0.0,-150.0
CUST00122,106,2,2048.93,2,2,3,223,At Risk,1,2025-09-30,10,39,1,2,1,10,4,30,,,,Win-Back Campaign,1,2048.93,1898.9299999999998
CUST00123,102,6,2989.07,2,5,4,254,Loyal Customers,0,2025-09-30,2,6,1,0,1,0,0,23,-0.47000000000000003,0.0,18.900000000000002,Engagement Recovery,0,0.0,-150.0
CUST00124,194,4,2570.5,1,4,4,144,Loyal Customers,1,2025-09-30,5,18,2,1,1,0,0,43,,,,Engagement Recovery,1,2570.5,2420.5
CUST00125,8,2,1698.4,5,2,3,523,Recent Customers,0,2025-09-30,0,0,0,0,0,5,1,0,,,,Onboarding & Nurture,0,0.0,-150.0
CUST00126,57,2,1260.02,3,2,2,322,Regular Customers,1,2025-09-30,5,30,1,1,1,3,0,3,,,,Regular Engagement,1,1260.02,1110.02
CUST00127,24,2,729.55,4,2,1,421,Recent Customers,0,2025-09-30,3,13,1,0,0,0,0,15,,,,Onboarding & Nurture,0,0.0,-150.0
CUST00128,19,2,1716.68,5,2,3,523,Recent Customers,0,2025-09-30,15,88,6,2,4,0,0,0,,,,Onboarding & Nurture,0,0.0,-150.0
CUST00129,83,3,3369.08,3,3,4,334,Regular Customers,0,2025-09-30,7,34,3,2,2,0,0,2,0.485,0.0,8.4,Regular Engagement,0,0.0,-150.0
CUST00130,88,1,1272.47,2,1,2,212,At Risk,0,2025-09-30,9,36,1,0,0,5,0,12,,,,Win-Back Campaign,0,0.0,-150.0
CUST00131,67,6,6830.01,3,5,5,355,Loyal Customers,1,2025-09-30,4,12,2,1,1,5,0,14,,,,Regular Engagement,1,6830.01,6680.01
CUST00132,117,5,4876.780000000001,2,4,5,245,Loyal Customers,1,2025-09-30,1,3,0,0,0,6,0,24,,,,Engagement Recovery,1,4876.780000000001,4726.780000000001
CUST00133,54,8,5982.58,3,5,5,355,Loyal Customers,0,2025-09-30,5,19,0,1,0,5,1,12,-0.53,0.0,27.9,Regular Engagement,0,0.0,-150.0
CUST00134,35,5,4075.34,4,4,5,445,Champions,0,2025-09-30,11,49,1,3,1,8,0,4,-0.31666666666666665,1.0,21.266666666666666,Service Recovery,0,0.0,-150.0
CUST00135,333,4,2534.18,1,4,3,143,Loyal Customers,1,2025-09-30,3,10,1,0,0,4,1,60,,,,Engagement Recovery,1,2534.18,2384.18
CUST00136,71,1,514.9,3,1,1,311,Regular Customers,1,2025-09-30,7,40,2,1,1,0,0,15,,,,Regular Engagement,1,514.9,364.9
CUST00137,177,2,1035.87,1,2,2,122,At Risk,1,2025-09-30,4,13,2,1,1,1,0,31,,,,Win-Back Campaign,1,1035.87,885.8699999999999
CUST00138,61,1,905.11,3,1,2,312,Regular Customers,0,2025-09-30,5,14,0,1,0,3,1,24,,,,Regular Engagement,0,0.0,-150.0
CUST00139,28,2,1715.4,4,2,3,423,Recent Customers,0,2025-09-30,5,17,3,0,1,0,0,10,-0.705,0.0,37.6,Onboarding & Nurture,0,0.0,-150.0
CUST00140,6,4,3768.34,5,4,4,544,Champions,0,2025-09-30,14,59,4,1,3,1,0,12,-0.06999999999999999,0.0,24.200000000000003,Service Recovery,0,0.0,-150.0
CUST00141,28,1,647.85,4,1,1,411,Recent Customers,0,2025-09-30,4,19,1,1,0,5,1,0,,,,Onboarding & Nurture,0,0.0,-150.0
CUST00142,169,5,1880.0,1,4,3,143,Loyal Customers,1,2025-09-30,2,7,0,1,0,0,0,41,,,,Engagement Recovery,1,1880.0,1730.0
CUST00143,32,6,7407.96,4,5,5,455,Champions,0,2025-09-30,5,23,1,1,1,2,1,9,,,,Regular Engagement,0,0.0,-150.0
CUST00144,86,9,6186.54,2,5,5,255,Loyal Customers,0,2025-09-30,8,32,3,1,0,6,2,17,-0.08666666666666666,1.0,18.566666666666666,Regular Engagement,0,0.0,-150.0
CUST00145,30,1,502.35,4,1,1,411,Recent Customers,1,2025-09-30,0,0,0,0,0,0,0,0,,,,Onboarding & Nurture,1,502.35,352.35
CUST00146,108,5,5838.500799999999,2,4,5,245,Loyal Customers,0,2025-09-30,4,15,1,1,0,5,1,30,-0.25,0.0,1.0,Engagement Recovery,0,0.0,-150.0
CUST00147,84,3,2809.3199999999997,3,3,4,334,Regular Customers,0,2025-09-30,1,3,0,0,0,0,0,29,0.03,0.0,19.8,Regular Engagement,0,0.0,-150.0
CUST00148,4,4,3013.01,5,4,4,544,Champions,0,2025-09-30,5,21,2,0,1,2,1,8,-0.61,1.0,20.8,Service Recovery,0,0.0,-150.0
CUST00149,8,1,787.94,5,1,2,512,Recent Customers,0,2025-09-30,8,21,3,1,2,2,0,0,,,,Onboarding & Nurture,0,0.0,-150.0
CUST00150,45,3,1355.63,4,3,2,432,Regular Customers,0,2025-09-30,6,21,1,1,0,5,2,7,,,,Regular Engagement,0,0.0,-150.0
CUST00151,62,7,5530.69,3,5,5,355,Loyal Customers,0,2025-09-30,7,31,3,1,2,5,0,4,-0.91,0.0,24.099999999999998,Regular Engagement,0,0.0,-150.0
CUST00152,46,7,4989.280000000001,4,5,5,455,Champions,0,2025-09-30,19,82,4,1,3,7,3,7,-0.6925,0.0,32.0,Service Recovery,0,0.0,-150.0
CUST00153,3,1,977.12,5,1,2,512,Recent Customers,0,2025-09-30,6,22,2,1,1,0,0,0,,,,Onboarding & Nurture,0,0.0,-150.0
CUST00154,10,8,7145.24,5,5,5,555,Champions,0,2025-09-30,8,28,3,2,1,1,0,2,,,,Regular Engagement,0,0.0,-150.0
CUST00155,2,3,2024.8,5,3,3,533,Regular Customers,0,2025-09-30,6,26,2,1,1,0,0,11,,,,Regular Engagement,0,0.0,-150.0
CUST00156,34,2,4117.160799999999,4,2,5,425,Big Spenders,0,2025-09-30,14,77,2,3,1,10,0,0,0.43,0.0,2.8,Regular Engagement,0,0.0,-150.0
CUST00157,0,5,2269.91,5,4,3,543,Loyal Customers,1,2025-09-30,3,14,1,1,0,2,1,5,-0.21,0.0,28.9,Regular Engagement,1,2269.91,2119.91
CUST00158,155,1,812.34,1,1,2,112,At Risk,1,2025-09-30,8,33,4,2,1,6,1,32,,,,Win-Back Campaign,1,812.34,662.34
CUST00159,474,2,2680.6907999999985,1,2,4,124,At Risk,1,2025-09-30,0,0,0,0,0,1,0,60,,,,Win-Back Campaign,1,2680.6907999999985,2530.6907999999985
CUST00160,177,2,1064.66,1,2,2,122,At Risk,1,2025-09-30,4,20,1,1,0,3,0,37,-0.6,0.0,37.0,Win-Back Campaign,1,1064.66,914.6600000000001
CUST00161,20,4,4081.290799999999,5,4,5,545,Champions,0,2025-09-30,7,41,4,2,2,4,1,0,,,,Regular Engagement,0,0.0,-150.0
CUST00162,91,2,1194.5900000000001,2,2,2,222,At Risk,1,2025-09-30,2,12,0,0,0,0,0,28,,,,Win-Back Campaign,1,1194.5900000000001,1044.5900000000001
CUST00163,70,1,275.41,3,1,1,311,Regular Customers,0,2025-09-30,3,13,1,1,1,5,2,19,,,,Regular Engagement,0,0.0,-150.0
